Id,Label,PageRank,Betweenness
"SANTANDER LEASE SA ESTABLECIMIENTO FINANCIERO DE CREDITO","SANTANDER LEASE SA ESTABLECIMIENTO FINANCIERO DE CREDITO",1.86691552373688e-05,0
"SANTANDER MEDIACION OPERADOR DE BANCA SEGUROS VINCULADO SA","SANTANDER MEDIACION OPERADOR DE BANCA SEGUROS VINCULADO SA",1.86691552373688e-05,0
"SANTANDER MERCHANT BANK LIMITED","SANTANDER MERCHANT BANK LIMITED",1.86691552373688e-05,0
"SANTANDER MULTIMEDIOS SA","SANTANDER MULTIMEDIOS SA",1.86691552373688e-05,0
"SANTANDER PENSOES - SOCIEDADE GESTORA DE FUNDOS DE PENSOES, S.A.","SANTANDER PENSOES - SOCIEDADE GESTORA DE FUNDOS DE PENSOES, S.A.",1.86691552373688e-05,0
"SANTANDER PRIVATE ADVISORS LTD","SANTANDER PRIVATE ADVISORS LTD",1.86691552373688e-05,0
"SANTANDER PRIVATE BANKING GESTION, SOCIEDAD ANONIMA, SOCIEDAD GESTORA DE INSTITUCIONES DE INVERSION COLECTIVA.","SANTANDER PRIVATE BANKING GESTION, SOCIEDAD ANONIMA, SOCIEDAD GESTORA DE INSTITUCIONES DE INVERSION COLECTIVA.",1.86691552373688e-05,0
"SANTANDER PRIVATE BANKING S.P.A. IN LIQUIDAZIONE","SANTANDER PRIVATE BANKING S.P.A. IN LIQUIDAZIONE",1.86691552373688e-05,0
"SANTANDER PRIVATE REAL ESTATE ADVISORY SA","SANTANDER PRIVATE REAL ESTATE ADVISORY SA",1.86691552373688e-05,0
"SANTANDER R","SANTANDER R",1.86691552373688e-05,0
"SANTANDER REAL ESTATE DEBT I","SANTANDER REAL ESTATE DEBT I",1.86691552373688e-05,0
"SANTANDER REAL ESTATE EQUITY I, FCR","SANTANDER REAL ESTATE EQUITY I, FCR",1.86691552373688e-05,0
"SANTANDER REAL ESTATE SA","SANTANDER REAL ESTATE SA",1.86691552373688e-05,0
"SANTANDER REAL STATE DEBT 1 SUB-FUND","SANTANDER REAL STATE DEBT 1 SUB-FUND",1.86691552373688e-05,0
"SANTANDER VENEZUELA SOCIEDAD ADMINISTRADORA DE ENTIDADES DE INVERSION COLECTIVA CA","SANTANDER VENEZUELA SOCIEDAD ADMINISTRADORA DE ENTIDADES DE INVERSION COLECTIVA CA",1.86691552373688e-05,0
"SEGUROS SANTANDER MEXICO SA DE CV","SEGUROS SANTANDER MEXICO SA DE CV",1.86691552373688e-05,0
"SERVICIOS CORPORATIVOS SEGUROS SERFIN SA DE CV","SERVICIOS CORPORATIVOS SEGUROS SERFIN SA DE CV",1.86691552373688e-05,0
"SK CHARTER HIRE (NO 1) LTD","SK CHARTER HIRE (NO 1) LTD",1.86691552373688e-05,0
"SOCIEDAD INTEGRAL DE VALORACIONES AUTOMATIZADAS SA","SOCIEDAD INTEGRAL DE VALORACIONES AUTOMATIZADAS SA",1.86691552373688e-05,0
"SOCUR SA","SOCUR SA",1.86691552373688e-05,0
"SOVEREIGN FREEZE LTD","SOVEREIGN FREEZE LTD",1.86691552373688e-05,0
"SOVEREIGN GIMI LTD","SOVEREIGN GIMI LTD",1.86691552373688e-05,0
"SOVEREIGN HILLI LTD","SOVEREIGN HILLI LTD",1.86691552373688e-05,0
"SOVEREIGN KHANNNUR LTD","SOVEREIGN KHANNNUR LTD",1.86691552373688e-05,0
"STERREBEECK B.V.","STERREBEECK B.V.",1.86691552373688e-05,0
"TABASCO ENERGIA ESPANA SL.","TABASCO ENERGIA ESPANA SL.",1.86691552373688e-05,0
"THE BEST SPECIALTY COFFEE SL.","THE BEST SPECIALTY COFFEE SL.",1.86691552373688e-05,0
"TRESMARES GROWTH FUND SANTANDER SCR SA.","TRESMARES GROWTH FUND SANTANDER SCR SA.",1.86691552373688e-05,0
"UNIVERSIA HOLDING SL","UNIVERSIA HOLDING SL",1.86691552373688e-05,0
"VALORES SANTANDER CASA DE BOLSA CA","VALORES SANTANDER CASA DE BOLSA CA",1.86691552373688e-05,0
"WALLCESA SA","WALLCESA SA",1.86691552373688e-05,0
"WAYCARBON SOLUCOES AMBIENTAIS E PROJETOS DE CARBONO S.A.","WAYCARBON SOLUCOES AMBIENTAIS E PROJETOS DE CARBONO S.A.",1.86691552373688e-05,0
"SANTANDER COMPARA HOLDING SL.","SANTANDER COMPARA HOLDING SL.",1.86691552373688e-05,0
"SANTANDER CONSUMER FINANCE LIMITADA","SANTANDER CONSUMER FINANCE LIMITADA",1.86691552373688e-05,0
"AVIACION ANTARES AIE","AVIACION ANTARES AIE",1.86691552373688e-05,0
"AVIACION BRITANICA AIE.","AVIACION BRITANICA AIE.",1.86691552373688e-05,0
"BANCO TOTTA DE ANGOLA","BANCO TOTTA DE ANGOLA",1.86691552373688e-05,0
"BEYOND WEALTH SA.","BEYOND WEALTH SA.",1.86691552373688e-05,0
"GESTORA DE PROCESOS S.A. EN LIQUIDACION","GESTORA DE PROCESOS S.A. EN LIQUIDACION",1.86691552373688e-05,0
"NAVIERA TRANS GAS AIE","NAVIERA TRANS GAS AIE",1.86691552373688e-05,0
"OPEN BANK SA","OPEN BANK SA",3.4539789964007e-05,3
"PAGONXT SL.","PAGONXT SL.",1.86691552373688e-05,0
"PEREDA GESTION SA","PEREDA GESTION SA",1.86691552373688e-05,0
"SALCO SERVICIOS DE SEGURIDAD SANTANDER SA.","SALCO SERVICIOS DE SEGURIDAD SANTANDER SA.",1.86691552373688e-05,0
"SANTANDER INSURANCE SL.","SANTANDER INSURANCE SL.",1.86691552373688e-05,0
"SANTANDER INTERNATIONAL PRODUCTS PUBLIC LIMITED COMPANY","SANTANDER INTERNATIONAL PRODUCTS PUBLIC LIMITED COMPANY",1.86691552373688e-05,0
"URO PROPERTY HOLDINGS SOCIMI SA.","URO PROPERTY HOLDINGS SOCIMI SA.",1.86691552373688e-05,0
"BANCO SANTANDER (MEXICO) S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER","BANCO SANTANDER (MEXICO) S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER",1.86691552373688e-05,0
